"","rdkit_graph","rdkit_broad","moa","target","disease_area","indication","moa_v1"
"559","CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O","CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O","DNA polymerase inhibitor","","dental|infectious disease","cold sore|genitial herpes|shingles","dna_pol_inhibitor"
"560","c1ccc2[nH]c(-c3cscn3)nc2c1","c1ccc2[nH]c(-c3cscn3)nc2c1","angiogenesis inhibitor","","infectious disease","gastrointestinal roundworms|hookworm","angiogenesis inhibitor"
"561","CN1CCN2c3ccccc3Cc3ccccc3C2C1","CN1CCN2c3ccccc3Cc3ccccc3C2C1","serotonin receptor antagonist","ADRA1A|ADRA1B|ADRA1D|HRH1|HRH2|HTR2A|HTR2B|HTR2C|HTR6|HTR7","neurology/psychiatry","depression","serotonin_receptor_antagonist"
"562","Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F","Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F","ribonucleotide reductase inhibitor","POLA1|POLD1|POLE|RRM1|RRM2|RRM2B","hematologic malignancy","acute lymphoblastic leukemia (ALL)","ribonucleotide_reductase_inhibitor"
"563","CC(C)(Oc1ccc(Cl)cc1)C(=O)O","CC(C)(Oc1ccc(Cl)cc1)C(=O)O","PPAR receptor agonist","PPARA","endocrinology","hyperlipidemia","ppar_agonist"
"564","COc1oc(=O)c2cc(N)ccc2c1Cl","COc1oc(=O)c2cc(N)ccc2c1Cl","gamma secretase inhibitor","PSEN1","","","gamma secretase inhibitor"
"565","NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12","NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12","penicillin binding protein inhibitor","","infectious disease","gram-negative bacterial infections","penicillin binding protein inhibitor"
"566","CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1","CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1","mucolytic agent","","pulmonary","chest congestion","mucolytic agent"
"567","COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1","COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1","phosphodiesterase inhibitor","PDE5A","","","phosphodiesterase_inhibitor"
"568","Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21","Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21","CDK inhibitor","CDK1|CDK2|CDK5|MAPK1","","","cdk_inhibitor"
"569","CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C","CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C","glucocorticoid receptor antagonist|progesterone receptor antagonist","AR|NR1I2|NR3C1|PGR","endocrinology","hyperglycemia|diabetes mellitus","glucocorticoid receptor antagonist|progesterone receptor antagonist"
"570","CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1","CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1","dopamine receptor antagonist|serotonin receptor antagonist","DRD1|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C","hematology|neurology/psychiatry","postpartum hemorrhage (PPH)|migraine headache","dopamine_antagonist"
"571","CC(NC(=O)Cc1cc(F)cc(F)c1)C(=O)NC(C(=O)OC(C)(C)C)c1ccccc1","C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)N[C@H](C(=O)OC(C)(C)C)c1ccccc1","gamma secretase inhibitor","","","","gamma secretase inhibitor"
"572","O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21","O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21","aromatase inhibitor|TRPV antagonist","CYP19A1|CYP1B1|ESR2|GLO1|HSD17B1","","","trpv_antagonist"
"573","Cn1cc(C=C2C(=O)Nc3cccnc32)c2ccccc21","Cn1cc(/C=C2\C(=O)Nc3cccnc32)c2ccccc21","growth factor receptor inhibitor","NTRK1","","","gfr_inhibitor"
"574","O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1","O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1","cyclooxygenase inhibitor","PTGS1|PTGS2","neurology/psychiatry","pain relief","cox inhibitor"
"575","CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","omega 3 fatty acid stimulant","ELOVL4|FADS1|FADS2|FFAR1|FFAR4|PTGS2|SLC8A1|TRPV1","","","omega 3 fatty acid stimulant"
"576","CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1","CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1","glutamate receptor antagonist","GRM5","","","glutamate_antagonist"
"577","COc1ccc(CNC(=O)C=Cc2ccc3[nH]cc(CCN(C)C)c3c2)cc1","COc1ccc(CNC(=O)/C=C/c2ccc3[nH]cc(CCN(C)C)c3c2)cc1","serotonin receptor agonist","HTR1D","","","serotonin_receptor_agonist"
"578","CN(Cc1ccccc1)C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)c1cn(C)c2ccccc12","CN(Cc1ccccc1)C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)c1cn(C)c2ccccc12","tachykinin antagonist","TACR1|TACR2","","","tachykinin antagonist"
"579","OC(c1ccccc1)(c1ccccc1)C1CCNCC1","OC(c1ccccc1)(c1ccccc1)C1CCNCC1","histamine receptor antagonist","HRH1","","","histamine receptor antagonist"
"580","NC1CCN(c2cccc(Cl)n2)CC1","NC1CCN(c2cccc(Cl)n2)CC1","serotonin receptor agonist","HTR3A","","","serotonin_receptor_agonist"
"581","O=C1C(=O)N(Cc2ccc(Cl)c(Cl)c2)c2ccccc21","O=C1C(=O)N(Cc2ccc(Cl)c(Cl)c2)c2ccccc21","carboxylesterase inhibitor","BCHE|CES1","","","carboxylesterase inhibitor"
"582","CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl","CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl","corticotropin releasing factor receptor antagonist","CRHR1","","","corticotropin releasing factor receptor antagonist"
"583","CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)N1Cc3ccccc3NC1=O)C2","CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)N1Cc3ccccc3NC1=O)C2","acetylcholine receptor antagonist","CHRM3","","","acetylcholine receptor antagonist"
"584","CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C","CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C","bacterial cell wall synthesis inhibitor","","infectious disease","urinary tract infections|gram-negative bacterial infections","bacterial cell wall synthesis inhibitor"
"585","Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(F)cc12","Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(F)cc12","thromboxane receptor antagonist","PTGES","","","thromboxane receptor antagonist"
"586","CN1C2CCC1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2","CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2","serotonin receptor antagonist","HTR3A|HTR3B","","","serotonin_receptor_antagonist"
"587","CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1","CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1","glucocorticoid receptor agonist","NR3C1","dermatology","corticosteroid-responsive dermatoses","glucocorticoid receptor agonist"
"588","C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O","C[C@@H]1O[C@@H](O[C@@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O","ATPase inhibitor","ATP1A1","cardiology","hypertension|cardiac arrythmia","atp_synthesis_inhibitor"
"589","c1ccc2c(c1)CCCc1cc(NCCN3CCOCC3)nnc1-2","c1ccc2c(c1)CCCc1cc(NCCN3CCOCC3)nnc1-2","acetylcholine receptor agonist","CHRM1","","","acetylcholine_agonist"
"590","COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F","COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F","phosphodiesterase inhibitor","PDE4D","","","phosphodiesterase_inhibitor"
"591","COC(=O)C=Cc1cc(O)ccc1O","COC(=O)/C=C/c1cc(O)ccc1O","EGFR inhibitor|tyrosine kinase inhibitor","EGFR","","","EGFR_inhibitor"
"592","COc1ccc(S(=O)(=O)N(CCO)c2ccccc2CN(C)C/C=C/c2ccc(Cl)cc2)cc1","COc1ccc(S(=O)(=O)N(CCO)c2ccccc2CN(C)C/C=C/c2ccc(Cl)cc2)cc1","calcium/calmodulin dependent protein kinase inhibitor","CAMK2A","","","calcium/calmodulin dependent protein kinase inhibitor"
"593","CC(=O)C(C#N)C(=O)Nc1cc(Br)ccc1Br","CC(=O)[C@@H](C#N)C(=O)Nc1cc(Br)ccc1Br","Bruton's tyrosine kinase (BTK) inhibitor","BTK","","","Bruton's tyrosine kinase (BTK) inhibitor"
"594","CC(N)Cn1ccc2cc(F)c(Cl)cc21","C[C@H](N)Cn1ccc2cc(F)c(Cl)cc21","serotonin receptor agonist","HTR2A|HTR2B|HTR2C","","","serotonin_receptor_agonist"
"595","O=C(O)CCC=CCC1COC(c2ccccc2Cl)OC1c1ccccc1O","O=C(O)CC/C=C\C[C@@H]1CO[C@H](c2ccccc2Cl)O[C@@H]1c1ccccc1O","thromboxane receptor antagonist","TBXA2R","","","thromboxane receptor antagonist"
"596","Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2","Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2","acetylcholine receptor agonist","HTR2C","","","acetylcholine_agonist"
"597","C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C","C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C","steroid","NR3C1|PLA2G1B","dermatology","corticosteroid-responsive dermatoses","steroid"
"598","CC(C)[C@H]1c2ccc(F)cc2CC[C@@]1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1","CC(C)[C@H]1c2ccc(F)cc2CC[C@@]1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1","T-type calcium channel blocker","CATSPER1|CATSPER2|CATSPER3|CATSPER4","","","calcium_channel_blocker"
"599","CN[C@@H](C)[C@@H](O)c1ccccc1","CN[C@@H](C)[C@H](O)c1ccccc1","adrenergic receptor agonist","ACHE|ADRA1A|ADRB2|SLC18A2|SLC6A2","cardiology|pulmonary|neurology/psychiatry|endocrinology","hypotension|asthma|narcolepsy|obesity","adrenergic_agonist"
"600","CC(C)(C)c1cc(/C=C(\C#N)C(N)=S)cc(C(C)(C)C)c1O","CC(C)(C)c1cc(/C=C(\C#N)C(N)=S)cc(C(C)(C)C)c1O","tyrosine kinase inhibitor","ERBB2|KDR|NTRK1","","","tyrosine_kinase_inhibitor"
"601","Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1","Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1","glycogen synthase kinase inhibitor","GSK3B|JUN|MYC","","","glycogen_synthase_kinase_inhibitor"
"602","CCCCC#Cc1nc(NC)c2ncn(C3OC(CO)C(O)C3O)c2n1","CCCCC#Cc1nc(NC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1","adenosine receptor agonist","ADORA1|ADORA2A|ADORA2B|ADORA3","","","adenosine_agonist"
"603","CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C","CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C","sodium channel blocker","CHRM1|CHRM2|CHRM3|KCND2|KCND3|KCNH2|SCN5A","cardiology","ventricular tachycardia (VT)|ventricular arrhythmias","sodium channel blocker"
"604","CC(C)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O","CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O","PPAR receptor agonist","","","","ppar_agonist"
"605","CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1","CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1","CDK inhibitor","CDK2|CDK9","","","cdk_inhibitor"
"606","CCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(N=C=S)cc2)CC1","CCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(N=C=S)cc2)CC1","opioid receptor agonist","OPRD1","","","opioid_receptor_agonist"
"607","CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O","CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O","leukotriene synthesis inhibitor","LTA4H|RNPEP","hematologic malignancy","acute myeloid leukemia (AML)","leukotriene synthesis inhibitor"
"608","CC[N+](C)(CC)CC(=O)Nc1c(C)cccc1C","CC[N+](C)(CC)CC(=O)Nc1c(C)cccc1C","antiarrhythmic medication","","","","anti_arrhythmic"
"609","CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CN","CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CN","cannabinoid receptor agonist","CNR1","","","cannabinoid receptor agonist"
"610","O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21","O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21","PKC inhibitor","WEE1","","","pkc_inhibitor"
"611","C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O","C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O","NFkB pathway inhibitor","AADACL2","","","nfkb_inhibitor"
"612","CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O","CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O","prostanoid receptor agonist","CATSPER1|CATSPER2|CATSPER3|CATSPER4|PTGDR|PTGDR2|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|TBXA2R","","","prostanoid_agonist"
"613","O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O","O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O","prostanoid receptor antagonist","PTGS1|PTGS2","rheumatology","rheumatoid arthritis|osteoarthritis","prostanoid receptor antagonist"
"614","CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C","CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C","","NR3C1","","",""
"615","Cc1nn(C)c2nc(NNC(=O)Nc3cc(Cl)nc(Cl)c3)cc(C(C)C)c12","Cc1nn(C)c2nc(NNC(=O)Nc3cc(Cl)nc(Cl)c3)cc(C(C)C)c12","lysophospholipid receptor antagonist","P2RY10|S1PR2","","","lysophospholipid receptor antagonist"
"616","CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1","CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1","adrenergic receptor antagonist","ADRA1A|ADRA1D","","","adrenergic_receptor_antagonist"
"617","CNCCC(Oc1ccccc1OC)c1ccccc1","CNCC[C@@H](Oc1ccccc1OC)c1ccccc1","norepinephrine reuptake inhibitor","SLC6A2|SLC6A3|SLC6A4","","","snri"
"618","CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21","CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21","SRC inhibitor","ABL1|LCK|RIPK2|SRC","","","src_inhibitor"
"619","OC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1","O[C@@H](CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1","sigma receptor antagonist","HTR1A","","","sigma receptor antagonist"
"620","CN(CCc1ccc(Cl)c(Cl)c1)CCN1CCCC1","CN(CCc1ccc(Cl)c(Cl)c1)CCN1CCCC1","sigma receptor antagonist","","","","sigma receptor antagonist"
"621","CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1","CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1","histamine receptor antagonist","HRH1","allergy","allergic rhinitis|urticaria","histamine receptor antagonist"
"622","Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O","Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O","acetylcholine receptor antagonist","CHRM1|CHRM2","urology","urinary incontinence|interstitial cystitis (IC)|urethritis|prostatitis","acetylcholine receptor antagonist"
"623","OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1","OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1","guanylyl cyclase activator","GUCY1A2|GUCY1A3|GUCY1B3|HIF1A","","","guanylyl cyclase activator"
"624","CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21","CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21","norepinephrine reputake inhibitor","","","","snri"
"625","Clc1cccc(Nc2nnc(-c3ccccc3)c3ccccc23)c1","Clc1cccc(Nc2nnc(-c3ccccc3)c3ccccc23)c1","phosphodiesterase inhibitor|platelet aggregation inhibitor","PDE5A","","","phosphodiesterase_inhibitor"
"626","CC(C)[N+]1(C)C2CC[C@@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2","CC(C)[N@@+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@@H](CO)c1ccccc1)C2","acetylcholine receptor antagonist","CHRM1|CHRM2|CHRM3|CHRM4|CHRM5","pulmonary","bronchospasm|chronic obstructive pulmonary disease (COPD)|bronchitis|emphysema","acetylcholine receptor antagonist"
"627","COc1ccc(C2CC(c3c(O)cc(C)oc3=O)=NCCS2)c(OC)c1","COc1ccc([C@H]2CC(c3c(O)cc(C)oc3=O)=NCCS2)c(OC)c1","P selectin inhibitor","SELP","","","P selectin inhibitor"
"628","O=C(c1c(O)c2ccc(Cl)cc2[nH]c1=O)C1CC1","O=C(c1c(O)c2ccc(Cl)cc2[nH]c1=O)C1CC1","glutamate receptor antagonist","GRIN1","","","glutamate_antagonist"
"629","FC(F)(F)c1cc(CO[C@H]2CCCN[C@H]2c2ccccc2)cc(C(F)(F)F)c1","FC(F)(F)c1cc(CO[C@H]2CCCN[C@H]2c2ccccc2)cc(C(F)(F)F)c1","tachykinin antagonist","TACR1","","","tachykinin antagonist"
"630","CCCCCC=CCC=CCC=CCC=CCCCC(=O)Nc1ccc(O)cc1","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)Nc1ccc(O)cc1","cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist","CNR1|CNR2|FAAH|TRPV1","","","cox inhibitor"
"631","Cc1ncsc1CCCl","Cc1ncsc1CCCl","GABA receptor antagonist|GABA receptor modulator","GABRA1","neurology/psychiatry","Parkinson's Disease|sedative|muscle relaxant","gaba_antagonist"
"632","NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1","NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1","carbonic anhydrase inhibitor","CA1|CA12|CA2|CA4|CA7","ophthalmology|neurology/psychiatry","glaucoma|epilepsy","carbonic anhydrase inhibitor"
"633","CCCCCCCCC=CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1","CCCCCCCC/C=C\CCCCCCCC(=O)NCc1ccc(O)c(OC)c1","TRPV agonist","CNR1|GPR119|TRPV1","","","trpv_agonist"
"634","NC(CC(=O)Nc1ccc(Oc2cc(F)c(F)cc2Br)cc1)C(=O)O","N[C@@H](CC(=O)Nc1ccc(Oc2cc(F)c(F)cc2Br)cc1)C(=O)O","glutamate inhibitor","SLC1A2","","","glutamate_antagonist"
"635","CCCC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1OC(=O)CCC","CCCC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(O)O[C@H]2[C@H]1OC(=O)CCC","adenosine receptor agonist|cAMP stimulant","PRKACA","dermatology","skin ulcer","adenosine_agonist"
"636","Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1","Cc1cccc(CN2CCN([C@@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1","constitutive androstane receptor (CAR) agonist","NR1I3","gastroenterology|neurology/psychiatry","nausea|vomiting|motion sickness","constitutive androstane receptor (CAR) agonist"
"637","O[C@@H]1CCCC[C@H]1N1CCC(c2ccccc2)CC1","O[C@@H]1CCCC[C@H]1N1CCC(c2ccccc2)CC1","acetylcholinesterase inhibitor","SLC18A3","","","acetylcholinesterase_inhibitor"
"638","CC(C)(C)c1cc(C(=O)C=Cc2ccc(C(=O)O)cc2)cc(C(C)(C)C)c1","CC(C)(C)c1cc(C(=O)/C=C/c2ccc(C(=O)O)cc2)cc(C(C)(C)C)c1","retinoid receptor binder","RARA|RARB","","","retinoid_agonist_ligand"
"639","CCc1cc(-c2n[nH]c(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O","CCc1cc(-c2n[nH]c(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O","HSP inhibitor","HSP90AA1|HSP90AB1","","","HSP inhibitor"
"640","NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12","NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12","calmodulin antagonist","","","","calmodulin antagonist"
"641","O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","polar auxin transport inhibitor","ATP5A1|ATP5B|ATP5C1|HCK|HIBCH|PIK3CG|PIM1|STK17B|UGT3A1","neurology/psychiatry|allergy","fatigue|allergic rhinitis|drowsiness","polar auxin transport inhibitor"
"642","c1ccc2sc(C3(N4CCCCC4)CCCCC3)cc2c1","c1ccc2sc(C3(N4CCCCC4)CCCCC3)cc2c1","dopamine receptor agonist","SLC6A3","","","dopamine_receptor_agonist"
"643","O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1","O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1","chloride channel blocker","AKR1C3|ANO1|AR|GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|PANX1|PANX2|PANX3|PKD2L1|PTGS1|PTGS2|TRPC5|TRPM2|TRPM5","","","chloride channel blocker"
"644","CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1","CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1","serine protease inhibitor","PRSS1|TPSAB1","gastroenterology","pancreatitis","serine protease inhibitor"
"645","CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1","CN(CCc1ccc(Cl)c(Cl)c1)C[C@@H](O)COc1ccc(NS(C)(=O)=O)cc1","potassium channel blocker","GRIN1","","","potassium channel blocker"
"646","NC(C(=O)O)c1ccc(O)c(C(=O)O)c1","N[C@@H](C(=O)O)c1ccc(O)c(C(=O)O)c1","glutamate receptor antagonist","GRIN1|GRIN2A|GRIN2B|GRIN2C","","","glutamate_antagonist"
"647","N=C(N)NN=Cc1c(Cl)cccc1Cl","N=C(N)N/N=C/c1c(Cl)cccc1Cl","adrenergic receptor agonist","ADRA2A|ADRA2B|ADRA2C","cardiology","hypertension","adrenergic_agonist"
"648","CCN(CC)CCNC(=O)COc1ccc(OC)cc1","CCN(CC)CCNC(=O)COc1ccc(OC)cc1","psychoactive drug","","","","psychoactive drug"
"649","COc1ccc2[nH]c(C(=O)c3ccccc3)cc2c1","COc1ccc2[nH]c(C(=O)c3ccccc3)cc2c1","microtubule inhibitor","TUBB","","","microtubule_inhibitor"
"650","N=C(N)NCc1cccc(I)c1","N=C(N)NCc1cccc(I)c1","antineoplastic agent","","oncology|cardiology|endocrinology","neuroblastoma|congestive heart failure|pheochromocytoma","anticancer"
"651","N#CC(C#N)=Cc1ccc(O)c(O)c1","N#CC(C#N)=Cc1ccc(O)c(O)c1","EGFR inhibitor|tyrosine kinase inhibitor","EGFR","","","EGFR_inhibitor"
"652","COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1","COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1","tubulin polymerization inhibitor","TUBA1A|TUBB|TUBB4B","infectious disease","pinworm|whipworm|hookworm|ascariasis","microtubule_inhibitor"
"653","CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2","CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@@H](CO)c1ccccc1)C2","acetylcholine receptor antagonist","CHRM1|CHRM2|CHRM3","ophthalmology","cycloplegia|mydriasis|amblyopia","acetylcholine receptor antagonist"
"654","CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C","CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C","bacterial permeability inducer","","infectious disease","coccidiosis","bacterial permeability inducer"
