"","rdkit_graph","rdkit_broad","moa","target","disease_area","indication"
"470","CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1","CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1","topoisomerase inhibitor","TOP1|TOP1MT","oncology","small cell lung cancer|cervical cancer"
"471","CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1","CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9","",""
"472","CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1","CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1","HDAC inhibitor","HDAC1|HDAC10|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9","",""
"473","CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1","CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM","",""
"474","Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1","Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC9","hematologic malignancy","multiple myeloma"
"475","Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O","ribonucleotide reductase inhibitor","ADA|DCK|POLA1|RRM1|RRM2","hematologic malignancy","chronic lymphocytic leukemia (CLL)"
"476","COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC","COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC","histone lysine methyltransferase inhibitor","EHMT1|EHMT2","",""
"477","CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CNC1C2C","CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C","hedgehog pathway inhibitor","","",""
"478","Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F","Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F","CDK inhibitor","AURKA|AURKB|CDK1|CDK2","",""
"479","O=C(CCCCCCC(=O)Nc1cccnc1)NO","O=C(CCCCCCC(=O)Nc1cccnc1)NO","HDAC inhibitor","HDAC1","",""
"480","O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO","O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO","HDAC inhibitor","HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9","hematologic malignancy","peripheral T-cell lymphoma (PTCL)"
"481","C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@H]21","C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21","NFkB pathway inhibitor","","",""
"482","NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@@H]1CCCNC1","NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1","CHK inhibitor","CHEK1|CHEK2","",""
"483","Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1","Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1","Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|SRC inhibitor|tyrosine kinase inhibitor","ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1","hematologic malignancy","chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)"
"484","CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O","CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O","topoisomerase inhibitor","TOP2A|TOP2B","",""
"485","Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1","Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1","kinesin inhibitor","KIF11","",""
"486","OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1","OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1","CDK inhibitor","CDK1|CDK2","",""
"487","Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1","Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1","DNA methyltransferase inhibitor","DNMT1|DNMT3A","hematologic malignancy|hematology","myelodysplastic diseases (MDS)|anemia|chronic myeloid leukemia (CML)"
"488","COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C","COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C","BCL inhibitor","BCL2","",""
"489","COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1","COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1","ALK tyrosine kinase receptor inhibitor","ALK|INSR","",""
"490","COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C","COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C","HSP inhibitor","HSP90AA1","",""
"491","FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1","FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1","PI3K inhibitor","PIK3CB|PIK3CD|PIK3CG","",""
"492","CC[C@@H]1/C=C/C=C/C[C@H](C)[C@@H](O)[C@](C)(O)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)/C=C/C(=O)O[C@@H]2[C@@H](C)[C@H](CC1)O[C@]1(CC[C@@H](C)[C@@H](C[C@@H](C)O)O1)[C@@H]2C","CC[C@H]1/C=C/C=C/C[C@@H](C)[C@H](O)[C@@](C)(O)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)/C=C/C(=O)O[C@H]2[C@H](C)[C@@]3(CC[C@H](C)[C@H](C[C@@H](C)O)O3)O[C@@H](CC1)[C@H]2C","ATP synthase inhibitor|ATPase inhibitor","ATP5A1","",""
"493","Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1","Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC9","",""
"494","NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1","NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1","Bcr-Abl kinase inhibitor","ABL1|BCR","",""
"495","N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F","N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F","dipeptidyl peptidase inhibitor","DPP4","endocrinology","diabetes mellitus"
"496","COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1","COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1","EGFR inhibitor|protein tyrosine kinase inhibitor","ERBB2","",""
"497","C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F","C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F","PLK inhibitor","PLK1","",""
"498","C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC","C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC","calcineurin inhibitor","FKBP1A","transplant","organ rejection"
"499","C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1","C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1","microtubule stabilizing agent","","",""
"500","C[C@@](O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1","C[C@](O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1","androgen receptor modulator","AR","",""
"501","CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1","CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1","EGFR inhibitor","EGFR|ERBB2|ERBB4","oncology","non-small cell lung cancer (NSCLC)"
"502","CC1C(=O)C(=O)[C@@H]2O[C@@H]2C1=O","C[C@H]1C(=O)C(=O)[C@@H]2O[C@@H]2C1=O","Bruton's tyrosine kinase (BTK) inhibitor","BTK","",""
"503","CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N/O)[nH]2)cc1","CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1","RAF inhibitor","BRAF","",""
"504","Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1","Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1","IKK inhibitor","CHUK|IKBKB","",""
"505","CC1=C(/C=C/C(C)=C/C=C/C(C)=C\CO)C(C)(C)CCC1","CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1","retinoid receptor ligand","ALDH1A1|ALDH1A2|ALDH1A3|DHRS3|DHRS4|LRAT|NR2C2|RBP1|RBP3|RDH11|RDH12|RDH13|RDH14|RDH5|RDH8|RETSAT|RHO|RLBP1|RXRA|RXRB|RXRG","dermatology","cosmetic|acne vulgaris (AV)|keratosis"
"506","C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O","C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O","11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist","HSD11B1|NR1H4","cardiology|gastroenterology","cerebral cholesterosis|gallstones"
"507","C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O","C[C@]12O[C@@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O","FLT3 inhibitor|growth factor receptor inhibitor|JAK inhibitor","FLT3|NTRK1","",""
"508","CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21","CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21","retinoid receptor agonist","RARA|RARB","hematologic malignancy","acute promyelocytic leukemia (APL)"
"509","CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1","CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1","mTOR inhibitor","MTOR","",""
"510","C[C@@H](c1ncncc1F)[C@@](O)(Cn1cncn1)c1ccc(F)cc1F","C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F","cytochrome P450 inhibitor","CYP2C19|CYP2C9|CYP3A4|CYP3A5|PTGS1","infectious disease","esophageal candidiasis|aspergillosis|skin infections"
"511","CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C","CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C","MAP kinase inhibitor","DCLK2|MAPK7|PLK4|TNK1","",""
"512","CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O","CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O","CDK inhibitor","CDK4|CDK6","oncology","breast cancer"
"513","CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1","CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1","p38 MAPK inhibitor","MAPK14","",""
"514","O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO","O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9","",""
"515","Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1","Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1","mTOR inhibitor","MTOR","",""
"516","C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1","C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1","EGFR inhibitor","EGFR|ERBB2","",""
"517","COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1","COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1","mTOR inhibitor","MTOR","",""
"518","Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21","Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21","PKC inhibitor","AKT1|GSK3B|PRKCA|PRKCB|PRKCD|PRKCG","",""
"519","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1","topoisomerase inhibitor","TOP2A","oncology","breast cancer"
"520","CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O","CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O","focal adhesion kinase inhibitor","PTK2|PTK2B","",""
"521","COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl","COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl","Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor","ABL1|BCR|CAMK1D|CAMK2G|CDK2|FRK|FYN|HCK|LYN|MAP2K1|MAP2K2|MAP3K2|MAP4K5|SRC|STK10|STK24|STK4|TNK2|TXK","hematologic malignancy","chronic myeloid leukemia (CML)"
"522","Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1","Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1","HDAC inhibitor","HDAC1|HDAC11|HDAC2|HDAC3","",""
"523","CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21","CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21","HSP inhibitor","HSP90AA1","",""
"524","CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O","CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O","protein tyrosine kinase inhibitor|tyrosine kinase inhibitor","","",""
"525","COc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1","COc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1","p38 MAPK inhibitor","MAPK11|MAPK14|PTGS2","",""
"526","CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O","CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O","HSP inhibitor","HSP90AA1","",""
"527","CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1","CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1","FGFR inhibitor|VEGFR inhibitor","FGFR1|FGFR2|FGFR3|FGFR4|FLT1|FLT4|KDR|PDGFRA|PDGFRB","",""
"528","C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl","C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl","ALK tyrosine kinase receptor inhibitor","ALK|MET","oncology","non-small cell lung cancer (NSCLC)"
"529","O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1","O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1","dopamine receptor antagonist|serotonin receptor antagonist","ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7|SLC6A4","neurology/psychiatry","schizophrenia|bipolar disorder"
"530","COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C","COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C","HIV integrase inhibitor","","infectious disease","human immunodeficiency virus (HIV-1)"
"531","C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O","C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O","HIV integrase inhibitor|nucleoside reverse transcriptase inhibitor","","infectious disease","human immunodeficiency virus (HIV-1)|hepatitis B"
"532","CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1","CNC(=O)Nc1ccc(-c2nc(N3C[C@@H]4CC[C@H](C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1","mTOR inhibitor","MTOR","",""
"533","COc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C","COc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C","leucine rich repeat kinase inhibitor","LRRK2","",""
"534","O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N/O","O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N/O","glycogen synthase kinase inhibitor|lipoxygenase inhibitor","GSK3A|GSK3B","",""
"535","O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl","O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl","MEK inhibitor","MAP2K1|MAP3K1|MAP3K2","",""
"536","Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1","Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1","RAF inhibitor","BRAF|RAF1","",""
"537","CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1","CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1","Aurora kinase inhibitor","AURKA|AURKB|AURKC|CYP2D6|CYP3A4","",""
"538","O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F","O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F","MEK inhibitor","MAP2K1","",""
"539","Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1","Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1","PI3K inhibitor","PIK3CA|PIK3CB|PIK3CD|PIK3CG","",""
"540","COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C","COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C","MAP kinase inhibitor","MAPK7","",""
"541","OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1","OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1","RAF inhibitor","BRAF","",""
"542","O=C(NC[C@H](O)CO)c1ccncc1Nc1ccc(I)cc1F","O=C(NC[C@H](O)CO)c1ccncc1Nc1ccc(I)cc1F","MEK inhibitor","MAP2K1|MAP2K2","",""
"543","COc1cccc2cc(-c3nc([C@H]4CC[C@@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12","COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12","mTOR inhibitor","MTOR","",""
"544","C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C","C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C","FXR antagonist|vitamin D receptor agonist","GPBAR1|NR1H4|NR1I2|VDR","",""
"545","N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1","N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1","JAK inhibitor","JAK1|JAK2|JAK3|TYK2","hematologic malignancy|hematology","myelofibrosis|polycythemia vera"
"546","CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1","CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1","EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor","CSF1R|EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|INSR|KDR|KIT|PDGFRA|PDGFRB","",""
"547","CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1","CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1","FLT3 inhibitor","CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET","",""
"548","Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1","Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1","PI3K inhibitor","PIK3CA|PIK3CD|PIK3CG","",""
"549","CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C","CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C","FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor","CSF1R|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET","oncology","gastrointestinal stromal tumors (GIST)|renal cell carcinoma (RCC)|neuroendocrine tumors of pancreatic origin (PNET)"
"550","O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","casein kinase inhibitor|cell proliferation inhibitor","AKR1B1|AR|CDK6|CFTR|CYP19A1|CYP1B1|HSD17B1","",""
"551","O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1","O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1","P glycoprotein inhibitor","ABCB1|ABCB4","",""
"552","CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1","CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1","SRC inhibitor","ABL1|LCK|SRC|YES1","",""
